scenario,method,mae_mu_a,mae_sigma_a_sq,mae_cov_z_a,mean_mu_z,std_mu_z,mean_sigma_z_sq,std_sigma_z_sq
Random - Small Var,MM-Remax,0.0003308188797617976,0.0013130176008330763,0.0003806847161305288,-0.077122149065635,0.43908812866838026,0.03421557175978575,0.026167054097809
Random - Small Var,Probit,9.782564645087962e-05,2.4722315754633223e-05,,-0.077122149065635,0.43908812866838026,0.03421557175978575,0.026167054097809
Random - Small Var,LL-Softmax,0.0002696634556074398,0.00016748675502539564,8.000986631845901e-05,0.03328673781286647,0.20446400656358715,0.060992055959641,0.026910703248922186
Random - Small Var,MM-Softmax,7.208730165605554e-05,9.830354335289878e-06,8.600702523563435e-05,0.03328673781286647,0.20446400656358715,0.060992055959641,0.026910703248922186
Random - Small Var,MM-Remax,0.000842631081193385,0.0030407609359864945,0.0005300359071344803,0.03328673781286647,0.20446400656358715,0.060992055959641,0.026910703248922186
Random - Small Var,Probit,0.00013174706253197833,3.5144311797634384e-05,,0.03328673781286647,0.20446400656358715,0.060992055959641,0.026910703248922186
Random - Small Var,LL-Softmax,0.00017727093591120047,0.0002530006207403993,5.505245770511e-05,-0.05490363229186448,0.6207954012967307,0.06447199700923595,0.024833563021270776
Random - Small Var,MM-Softmax,4.855231830843201e-05,6.749019405859959e-06,5.290189352832521e-05,-0.05490363229186448,0.6207954012967307,0.06447199700923595,0.024833563021270776
Random - Small Var,MM-Remax,0.00014320487232831128,0.00018853605261636423,0.00010278750166311322,-0.05490363229186448,0.6207954012967307,0.06447199700923595,0.024833563021270776
Random - Small Var,Probit,0.00021799471662629354,4.787875670569584e-05,,-0.05490363229186448,0.6207954012967307,0.06447199700923595,0.024833563021270776
Random - Small Var,LL-Softmax,0.00025482479301272494,0.00016605507275531154,5.6686888322670996e-05,-0.03336498039266266,0.5192174275461857,0.05892511126168417,0.028767178610652096
Random - Small Var,MM-Softmax,5.2694882305835686e-05,7.508882753500283e-06,6.813801340313525e-05,-0.03336498039266266,0.5192174275461857,0.05892511126168417,0.028767178610652096
Random - Small Var,MM-Remax,0.0002882509867472354,0.0004230427554567656,0.00022446900314826245,-0.03336498039266266,0.5192174275461857,0.05892511126168417,0.028767178610652096
Random - Small Var,Probit,0.00017282003530937618,3.517230754997457e-05,,-0.03336498039266266,0.5192174275461857,0.05892511126168417,0.028767178610652096
Random - Small Var,LL-Softmax,0.0003410962929224465,0.00012287321766825374,5.8257248240550005e-05,0.3028560584600216,0.5506908050600846,0.03947477839009346,0.03058844718259537
Random - Small Var,MM-Softmax,4.073489113381457e-05,6.48295765647086e-06,5.103115248291384e-05,0.3028560584600216,0.5506908050600846,0.03947477839009346,0.03058844718259537
Random - Small Var,MM-Remax,5.523158701791545e-05,9.255353771134594e-05,0.0001445821997401966,0.3028560584600216,0.5506908050600846,0.03947477839009346,0.03058844718259537
Random - Small Var,Probit,0.00010484172750259562,1.6295817236364412e-05,,0.3028560584600216,0.5506908050600846,0.03947477839009346,0.03058844718259537
Random - Small Var,LL-Softmax,0.0003371101723218188,0.000270344551684721,5.221587724115567e-05,-0.0824852174387897,0.6501331675942931,0.059374797141207566,0.029360448506496082
Random - Small Var,MM-Softmax,4.544518336170173e-05,1.2854927346905442e-05,5.0686212101929955e-05,-0.0824852174387897,0.6501331675942931,0.059374797141207566,0.029360448506496082
Random - Small Var,MM-Remax,0.00012503215064472946,0.0003830610270774906,0.00023031897705549275,-0.0824852174387897,0.6501331675942931,0.059374797141207566,0.029360448506496082
Random - Small Var,Probit,0.00017423783669338403,2.861793638784461e-05,,-0.0824852174387897,0.6501331675942931,0.059374797141207566,0.029360448506496082
Random - Small Var,LL-Softmax,0.00024041252424535016,9.14847813427352e-05,4.1751080652628484e-05,-0.11851876193602999,0.39159734273616226,0.021774301310622676,0.011954009944608162
Random - Small Var,MM-Softmax,4.6170622080302784e-05,2.5022289464899973e-06,4.5332592103380065e-05,-0.11851876193602999,0.39159734273616226,0.021774301310622676,0.011954009944608162
Random - Small Var,MM-Remax,0.0007656331579700113,0.001090302357159478,0.0003324382765284344,-0.11851876193602999,0.39159734273616226,0.021774301310622676,0.011954009944608162
Random - Small Var,Probit,6.157713602126802e-05,1.6969390992060156e-05,,-0.11851876193602999,0.39159734273616226,0.021774301310622676,0.011954009944608162
Random - Small Var,LL-Softmax,0.00021753503136598615,0.00015077401766764553,8.920173087612263e-05,0.07231502301206123,0.3812176211620693,0.05000347266914189,0.024011025324307014
Random - Small Var,MM-Softmax,3.7708229495547754e-05,4.122200721103808e-06,4.3401239239367723e-05,0.07231502301206123,0.3812176211620693,0.05000347266914189,0.024011025324307014
Random - Small Var,MM-Remax,0.00017941319288090115,0.00027034076666104166,0.00011902186373753814,0.07231502301206123,0.3812176211620693,0.05000347266914189,0.024011025324307014
Random - Small Var,Probit,0.00017195738111353554,3.109154787089489e-05,,0.07231502301206123,0.3812176211620693,0.05000347266914189,0.024011025324307014
Random - Small Var,LL-Softmax,0.00023275258938561458,0.00024410917748541637,5.261248979337038e-05,-0.10973551696603132,0.6705490657956095,0.055716359944562074,0.02491935959487848
Random - Small Var,MM-Softmax,3.8515114838319484e-05,6.275867753200329e-06,4.275917158813165e-05,-0.10973551696603132,0.6705490657956095,0.055716359944562074,0.02491935959487848
Random - Small Var,MM-Remax,0.00032059555320988476,0.00037468016099354896,0.0002141389898291341,-0.10973551696603132,0.6705490657956095,0.055716359944562074,0.02491935959487848
